Time,Channel A
(ms),(V)

89.86999977,-4.30982400
89.87199977,-4.35194000
89.87399977,-4.32081100
89.87599977,-4.27869500
89.87799977,-4.34156300
89.87999977,-4.27869500
89.88199977,-4.30982400
89.88399977,-4.28907100
89.88599977,-4.30982400
89.88799977,-4.32081100
89.88999977,-4.32081100
89.89199977,-4.35194000
89.89399977,-4.34156300
89.89599977,-4.32081100
89.89799977,-4.36292600
89.89999977,-4.29944800
89.90199977,-4.26770800
89.90399977,-4.32081100
89.90599977,-4.27869500
89.90799977,-4.32081100
89.90999977,-4.32081100
89.91199977,-4.33118700
89.91399977,-4.28907100
89.91599977,-4.30982400
89.91799977,-4.32081100
89.91999977,-4.29944800
89.92199977,-4.30982400
89.92399977,-4.32081100
89.92599977,-4.32081100
89.92799977,-4.35194000
89.92999977,-4.33118700
89.93199977,-4.35194000
89.93399977,-4.30982400
89.93599977,-4.30982400
89.93799977,-4.32081100
89.93999977,-4.32081100
89.94199977,-4.32081100
89.94399977,-4.32081100
89.94599977,-4.32081100
89.94799977,-4.33118700
89.94999977,-4.35194000
89.95199977,-4.34156300
89.95399977,-4.30982400
89.95599977,-4.28907100
89.95799977,-4.34156300
89.95999977,-4.32081100
89.96199977,-4.34156300
89.96399977,-4.30982400
89.96599977,-4.30982400
89.96799977,-4.36292600
89.96999977,-4.30982400
89.97199977,-4.32081100
89.97399977,-4.32081100
89.97599977,-4.34156300
89.97799977,-4.28907100
89.97999977,-4.34156300
89.98199977,-4.29944800
89.98399977,-4.29944800
89.98599977,-4.28907100
89.98799977,-4.30982400
89.98999977,-4.30982400
89.99199977,-4.34156300
89.99399977,-4.30982400
89.99599977,-4.32081100
89.99799977,-4.34156300
89.99999977,-4.32081100
90.00199977,-4.33118700
90.00399977,-4.28907100
90.00599977,-4.30982400
90.00799977,-4.36292600
90.00999977,-4.29944800
90.01199977,-4.30982400
90.01399977,-4.34156300
90.01599977,-4.30982400
90.01799977,-4.28907100
90.01999977,-4.30982400
90.02199977,-4.30982400
90.02399977,-4.33118700
90.02599977,-4.30982400
90.02799977,-4.28907100
90.02999977,-4.35194000
90.03199977,-4.30982400
90.03399977,-4.37330200
90.03599977,-4.29944800
90.03799977,-4.30982400
90.03999977,-4.33118700
90.04199977,-4.29944800
90.04399977,-4.32081100
90.04599977,-4.29944800
90.04799977,-4.34156300
90.04999977,-4.32081100
90.05199977,-4.32081100
90.05399977,-4.29944800
90.05599977,-4.35194000
90.05799977,-4.32081100
90.05999977,-4.29944800
90.06199977,-4.25733200
90.06399977,-4.30982400
